Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
20000,3.615013,-0.31834078,-0.3346911,523.1,-1.3486466592294164,-1.3486466592294164,0.0,1.0
40000,3.6002169,-0.27896437,-0.34099907,632.060606060606,-1.1527863585277263,-1.1527863585277263,34.64955873561628,1.0
60000,3.6169727,-0.20202729,0.1107102,616.71875,-1.0800468810207349,-1.0800468810207349,23.953779565170407,1.0
80000,3.6280842,-0.23217985,0.33453143,608.5294117647059,-1.0761681747698635,-1.0761681747698635,10.908804901395783,1.0
100000,3.6239614,-0.17744969,0.5040619,700.5714285714286,-1.035015492514127,-1.035015492514127,10.056000990471963,1.0
120000,3.6114562,-0.20137624,0.7013192,729.9629629629629,-1.0646629389741942,-1.0646629389741942,8.977232831081858,1.0
140000,3.617149,-0.27156863,0.64386547,599.2058823529412,-1.3810499651040384,-1.3810499651040384,5.408220421851558,1.0
160000,3.6123676,-0.22748731,0.6761532,613.9142857142857,-1.1908499980241427,-1.1908499980241427,4.9251828233445325,1.0
180000,3.6066337,-0.24597448,0.7479076,575.8387096774194,-1.1519628958945582,-1.1519628958945582,3.5097275900113725,1.0
200000,3.6235614,-0.21559855,0.76167643,627.7,-1.3090550027467542,-1.3090550027467542,4.119035567591587,1.0
220000,3.6287904,-0.24846023,0.700947,556.2631578947369,-1.1940202726188078,-1.1940202726188078,2.9736471331200085,1.0
240000,3.6163552,-0.21101786,0.64261514,650.4242424242424,-1.158545592585998,-1.158545592585998,3.1089406704858824,1.0
260000,3.6040232,-0.23017639,0.6722584,557.1515151515151,-1.3943181739150807,-1.3943181739150807,2.4274618070375062,1.0
280000,3.594176,-0.2820098,0.71661615,605.0,-1.289490626728366,-1.289490626728366,2.726481220801361,1.0
300000,3.576655,-0.27577716,0.6346323,763.0370370370371,-0.9057277740090891,-0.9057277740090891,3.288394540354299,1.0
320000,3.5649593,-0.256099,0.58081293,719.2758620689655,-0.7769571393873775,-0.7769571393873775,2.3734712416854955,1.0
340000,3.5763154,-0.22588435,0.5532889,603.4333333333333,-0.9010499888794467,-0.9010499888794467,2.214127097399004,1.0
360000,3.5913384,-0.2027686,0.50852346,812.1666666666666,-0.3079104046688978,-0.3079104046688978,2.665417868255948,1.0
380000,3.5702393,-0.17099236,0.4689022,636.6176470588235,-0.6051823466773117,-0.6051823466773117,1.8407597858869635,1.0
400000,3.558328,-0.18595463,0.49414104,778.625,-0.4747187468813839,-0.4747187468813839,2.419886699800069,1.0
420000,3.5717835,-0.11496154,0.4410637,781.4642857142857,-0.6086462858505978,-0.6086462858505978,2.227291557592926,1.0
440000,3.5517275,-0.09985278,0.41578117,899.3333333333334,-0.3215369511074285,-0.3215369511074285,2.1750599793765857,1.0
460000,3.5684621,-0.13232967,0.3930725,804.6428571428571,-0.7442946383317965,-0.7442946383317965,2.185802288220397,1.0
480000,3.5582695,-0.11455466,0.3680059,755.44,-0.6547079974459484,-0.6547079974459484,2.3129981371760366,1.0
500000,3.552709,-0.11478611,0.37128136,768.7826086956521,-0.4939282652485417,-0.4939282652485417,2.3176462829072513,1.0
520000,3.5498817,-0.08788788,0.33026287,599.2571428571429,-0.6267799984447525,-0.6267799984447525,1.6913050771690905,1.0
540000,3.524291,-0.10105503,0.34237015,670.1,-0.3420083351326563,-0.3420083351326563,1.9174909376694511,1.0
560000,3.4966683,-0.0815321,0.32679328,651.9677419354839,-0.23374999230427126,-0.23374999230427126,1.9310915063946479,1.0
580000,3.5117455,-0.06113258,0.32802185,697.8275862068965,-0.24845690188672523,-0.24845690188672523,2.6257673452030224,1.0
600000,3.4690607,-0.021075321,0.31886196,583.8108108108108,-0.09335540199331385,-0.09335540199331385,2.042521035978319,1.0
620000,3.450659,-0.036479324,0.36082304,623.4137931034483,-0.6641107019240735,-0.6641107019240735,2.290973272573735,1.0
640000,3.442204,-0.022387462,0.33515415,501.2439024390244,-0.14613779940679328,-0.14613779940679328,1.4941459397172057,1.0
660000,3.418741,-0.025481062,0.34914216,605.516129032258,-0.42067969515937875,-0.42067969515937875,1.6742060404794756,1.0
680000,3.4550025,-0.046657085,0.32402575,635.6666666666666,-0.5075015158888136,-0.5075015158888136,1.9065106206601767,1.0
700000,3.4236298,-0.035050105,0.3160027,731.9629629629629,-0.4728851792881162,-0.4728851792881162,1.9738608322761677,1.0
720000,3.4251938,-0.0152774835,0.32355085,549.1315789473684,-0.21394736213015245,-0.21394736213015245,1.4724887282416028,1.0
740000,3.3992255,-0.030728605,0.3161633,554.7647058823529,0.1485441372907885,0.1485441372907885,1.5347757277024143,1.0
760000,3.41408,-0.04183417,0.31145516,501.5263157894737,-0.19369867853176975,-0.19369867853176975,1.4040960192092156,1.0
780000,3.381173,-0.04104537,0.29878673,615.3513513513514,-0.44657838602241196,-0.44657838602241196,1.6628501712017365,1.0
800000,3.3667154,-0.0035220806,0.29310286,597.6333333333333,0.45511999939820574,0.45511999939820574,1.8151177124430735,1.0
820000,3.350762,-0.020553622,0.32875976,483.70454545454544,-0.07391136326127294,-0.07391136326127294,1.4432097918523306,1.0
840000,3.2958653,0.0067534205,0.32228923,446.9767441860465,-0.0935255795349042,-0.0935255795349042,1.3129277560253476,1.0
860000,3.3098402,0.005203634,0.32496348,471.6585365853659,0.2312707218395478,0.2312707218395478,1.6397332497304533,1.0
880000,3.3240683,0.02552289,0.31512442,427.5111111111111,0.09113001463960649,0.09113001463960649,1.4684467209089134,1.0
900000,3.3174782,-0.0067248316,0.3556932,394.33962264150944,-0.26641131771721804,-0.26641131771721804,1.391588515711878,1.0
920000,3.2810664,0.02902319,0.34381926,390.25,-0.11916427265012837,-0.11916427265012837,1.2723022459041593,1.0
940000,3.3142967,0.03381808,0.34146553,424.1860465116279,0.3458535012255726,0.3458535012255726,1.3694448391798624,1.0
960000,3.2709084,0.063062236,0.35004723,397.1090909090909,0.09696943844028283,0.09696943844028283,1.309254813603022,1.0
980000,3.2508628,0.08148313,0.38528058,383.5652173913044,0.4287923888598174,0.4287923888598174,1.526541752356064,1.0
1000000,3.2113554,0.07975561,0.35730553,431.45454545454544,0.29167110888908304,0.29167110888908304,1.5105551381491953,1.0
1020000,3.2029848,0.07436838,0.3651463,386.85714285714283,0.10604911316425257,0.10604911316425257,1.2181064790513898,1.0
1040000,3.2441533,0.0068610804,0.3740391,432.97777777777776,-0.22158976741775405,-0.22158976741775405,1.57914287046614,1.0
1060000,3.2182314,0.049767748,0.37356046,433.0,0.35391171267590527,0.35391171267590527,1.2212798847876332,1.0
1080000,3.107847,0.13929896,0.37393624,325.9384615384615,0.40014231561004776,0.40014231561004776,1.1349655008624093,1.0
1100000,3.1821697,0.06378485,0.36901402,389.38461538461536,0.14862980702533746,0.14862980702533746,1.2728227447503462,1.0
1120000,3.1440456,0.057806674,0.3724768,365.6,0.14694184448590208,0.14694184448590208,1.317662686147556,1.0
1140000,3.1858716,0.06659092,0.366186,441.83720930232556,0.1323277846780709,0.1323277846780709,1.340445285042127,1.0
1160000,3.1752436,0.015394652,0.38557434,427.9622641509434,0.1823037761759962,0.1823037761759962,1.3370468960547786,1.0
1180000,3.1393778,0.03674725,0.37373072,475.86486486486484,-0.06000555327369107,-0.06000555327369107,1.7715841041256983,1.0
1200000,3.0570683,0.109381914,0.37145093,346.9344262295082,0.41566048183331955,0.41566048183331955,1.2239122648775997,1.0
1220000,3.0704448,0.057156846,0.373703,399.1914893617021,0.37107978418266324,0.37107978418266324,1.5646318571959088,1.0
1240000,3.079461,0.08854872,0.38409096,376.1132075471698,-0.036036794192491554,-0.036036794192491554,1.2416403209439144,1.0
1260000,3.055115,0.12138373,0.37902486,368.6551724137931,0.31797241139278853,0.31797241139278853,1.2983489941066966,1.0
1280000,3.062648,0.09678039,0.38108388,408.12,0.10140409293063032,0.10140409293063032,1.4237671008865749,1.0
1300000,3.0886834,0.058557387,0.39352936,412.27906976744185,0.20453521827320484,0.20453521827320484,1.52839220371309,1.0
1320000,3.0422297,0.12339014,0.3850838,361.4561403508772,0.429627179885038,0.429627179885038,1.1659074128327662,1.0
1340000,2.9756203,0.123904586,0.37693292,455.4347826086956,0.5893869583005258,0.5893869583005258,1.4957550015583958,1.0
1360000,3.0200028,0.13094229,0.36874372,436.14285714285717,0.40759999335071967,0.40759999335071967,1.6562138918173932,1.0
1380000,2.9328759,0.1438232,0.35923073,421.1,0.14786078530996033,0.14786078530996033,1.5495296842966448,1.0
1400000,2.8982801,0.1598517,0.35427308,477.6666666666667,0.4382262039490299,0.4382262039490299,1.6503222101323662,1.0
1420000,2.8732595,0.16872959,0.3561344,470.2142857142857,0.8805464223907966,0.8805464223907966,1.6717992699926807,1.0
1440000,2.9381058,0.14460969,0.36476392,471.6341463414634,0.552553665189629,0.552553665189629,1.8987953291479043,1.0
1460000,2.9380565,0.118702464,0.36018273,581.8421052631579,0.07984342457692899,0.07984342457692899,2.178367141438158,1.0
1480000,2.8742616,0.103003986,0.37362337,495.38461538461536,0.23877762919513962,0.23877762919513962,1.8913718714427792,1.0
1500000,2.9303696,0.0792259,0.38801983,473.390243902439,-0.030979755238929232,-0.030979755238929232,1.8208009846331108,1.0
1520000,2.8289924,0.123971894,0.388194,544.0588235294117,0.5077308912681046,0.5077308912681046,2.053746468223193,1.0
1540000,2.855755,0.13670424,0.3897278,485.4,0.44975334386076105,0.44975334386076105,1.8077885028388765,1.0
1560000,2.8144138,0.15309788,0.3917518,482.92105263157896,0.6939907804794769,0.6939907804794769,1.8460334966841496,1.0
1580000,2.8652666,0.12106029,0.40119162,768.5555555555555,0.3411240628845041,0.3411240628845041,2.6921294028008425,1.0
1600000,2.7504394,0.20258808,0.37720463,488.15384615384613,0.6327397409611597,0.6327397409611597,1.9004241672272866,1.0
1620000,2.7678633,0.14452487,0.3986595,663.3333333333334,0.34836166067398155,0.34836166067398155,2.7452220120855295,1.0
1640000,2.8281028,0.19566897,0.3943634,459.97727272727275,0.717679546873445,0.717679546873445,1.5821463855470277,1.0
1660000,2.7998872,0.1863376,0.3752891,585.8285714285714,0.6148749961002442,0.6148749961002442,1.728818316834376,1.0
1680000,2.7247024,0.24132292,0.37414992,513.3421052631579,0.7531923073517809,0.7531923073517809,1.7428328897565222,1.0
1700000,2.7391698,0.22248113,0.36563885,633.0,0.37872257480217564,0.37872257480217564,2.2729018868337714,1.0
1720000,2.6585667,0.24512132,0.3568091,387.88235294117646,0.7511656926528267,0.7511656926528267,1.0944643714647813,1.0
1740000,2.733672,0.23128052,0.36201942,455.02272727272725,0.48699773544285563,0.48699773544285563,1.3045096575766697,1.0
1760000,2.7740421,0.16814213,0.35315004,490.3181818181818,-0.08028636791542257,-0.08028636791542257,1.6289248891090127,1.0
1780000,2.7273479,0.2489176,0.35186264,369.02,0.6260480123799061,0.6260480123799061,1.1533869368955494,1.0
1800000,2.6775267,0.24307539,0.34413078,406.9259259259259,0.7926886774284352,0.7926886774284352,1.2685867831515114,1.0
1820000,2.7035637,0.31992888,0.34040648,356.34615384615387,1.1334726587206978,1.1334726587206978,1.0642065987658669,1.0
1840000,2.7874753,0.25817,0.33916193,407.3695652173913,0.7556663028264429,0.7556663028264429,1.2368922425869286,1.0
1860000,2.7206583,0.3102806,0.33555645,344.75757575757575,0.7758401701902392,0.7758401701902392,1.0424134168265895,1.0
1880000,2.645275,0.2951384,0.34627226,427.1463414634146,0.8561158614959312,0.8561158614959312,1.357673784808778,1.0
1900000,2.6671104,0.28073347,0.3445155,394.96153846153845,0.5352843227094626,0.5352843227094626,1.3101690379633368,1.0
1920000,2.6517317,0.2701524,0.346955,375.54545454545456,0.6435607166921338,0.6435607166921338,1.292647208186931,1.0
1940000,2.599657,0.30026186,0.33828145,340.69642857142856,0.45966160296614234,0.45966160296614234,1.0554325847874029,1.0
1960000,2.5457096,0.42133278,0.33254543,329.73846153846154,1.091871881382076,1.091871881382076,1.0200771973177325,1.0
1980000,2.5292957,0.34704244,0.32766673,375.43859649122805,0.755238800135979,0.755238800135979,1.0996438405267766,1.0
2000000,2.4747374,0.39812577,0.3244612,266.12857142857143,0.9986107296568142,0.9986107296568142,0.8150020867627713,1.0
2020000,2.4873464,0.38130456,0.33299738,311.625,1.0997390606926274,1.0997390606926274,0.9797155746837234,1.0
2040000,2.4947023,0.36218876,0.33531648,323.5409836065574,0.894891795870222,0.894891795870222,1.1005049310013897,1.0
2060000,2.4413445,0.31661206,0.3434995,404.93617021276594,0.7735106442592719,0.7735106442592719,1.3658780681880864,1.0
2080000,2.446058,0.3926483,0.32423547,327.7076923076923,1.2019923091637723,1.2019923091637723,0.9621269911384354,1.0
