Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2260000,2.5264752,780.1153846153846,-0.13707756,-0.9750576861775838,-0.9750576861775838,0.0012665121,0.020863708,0.0002662418,1.0
2280000,2.5598185,796.5,-0.12631112,-1.0669535693845578,-1.0669535693845578,0.0027666395,0.023593262,0.00026593116,1.0
2300000,2.5466592,904.6190476190476,-0.1291795,-0.9791904765935171,-0.9791904765935171,0.00073596975,0.023734141,0.00026562193,1.0
2320000,2.5741076,701.5357142857143,-0.1405518,-0.7933035663196019,-0.7933035663196019,0.0026526893,0.021094374,0.000265313,1.0
2340000,2.5097291,617.7666666666667,-0.13962115,-1.036526657640934,-1.036526657640934,0.0052110204,0.02500193,0.00026500472,1.0
2360000,2.4631064,780.2692307692307,-0.1565958,-1.1291346097221742,-1.1291346097221742,0.004828426,0.025873806,0.00026469448,1.0
2380000,2.4310129,722.3571428571429,-0.16793829,-1.0105142867458718,-1.0105142867458718,0.0021235303,0.029026657,0.0002643849,1.0
2400000,2.5390422,852.2692307692307,-0.12942046,-1.0893759921193122,-1.0893759921193122,0.001692434,0.024122914,0.00026415382,1.0
2420000,2.5474894,684.4827586206897,-0.13022979,-1.030779993782441,-1.030779993782441,0.0028524173,0.021178871,0.0002639222,1.0
2440000,2.5096428,740.5769230769231,-0.1306504,-0.8928519988059997,-0.8928519988059997,0.0050040744,0.021069568,0.0002636118,1.0
2460000,2.5135045,718.0,-0.108554654,-1.0877035672643356,-1.0877035672643356,0.0010269706,0.027948622,0.00026330238,1.0
2480000,2.486902,782.6923076923077,-0.114413,-1.0547769115521357,-1.0547769115521357,0.0060410984,0.027093757,0.00026299327,1.0
2500000,2.359149,682.0384615384615,-0.1768258,-1.1460115261949027,-1.1460115261949027,0.0066549163,0.02336804,0.0002626828,1.0
2520000,2.4557219,705.46875,-0.1629125,-1.2789838592852316,-1.2789838592852316,0.004170683,0.027192395,0.0002623729,1.0
2540000,2.5214653,663.4333333333333,-0.13099028,-0.9024741851514385,-0.9024741851514385,0.007439265,0.025727633,0.00026206527,1.0
2560000,2.5555744,826.0,-0.12011866,-0.9539791475981474,-0.9539791475981474,0.0014132105,0.020980388,0.00026175662,1.0
2580000,2.52334,696.9655172413793,-0.12571418,-1.1132861920471848,-1.1132861920471848,0.0054550273,0.024700213,0.00026144675,1.0
2600000,2.491681,910.2857142857143,-0.1658137,-1.0326190420559473,-1.0326190420559473,0.0030401037,0.027661825,0.00026113805,1.0
2620000,2.4694176,678.9642857142857,-0.15735829,-1.1138703577496387,-1.1138703577496387,0.003958735,0.025095137,0.00026082984,1.0
2640000,2.4933264,761.0,-0.12190938,-0.9717766543229421,-0.9717766543229421,0.0019256537,0.02013637,0.0002605219,1.0
2660000,2.5174067,778.8846153846154,-0.11212829,-0.9929519963264465,-0.9929519963264465,0.0016441378,0.023450103,0.00026021374,1.0
2680000,2.537243,829.7391304347826,-0.11356939,-0.860854153521359,-0.860854153521359,0.0024475397,0.023022493,0.00025990547,1.0
2700000,2.568881,908.3333333333334,-0.114156865,-1.0070380916198094,-1.0070380916198094,0.0008839293,0.022659529,0.00025959755,1.0
2720000,2.5004096,599.8888888888889,-0.13530023,-1.0327166647960742,-1.0327166647960742,0.004079842,0.022947297,0.0002592893,1.0
2740000,2.505885,731.4615384615385,-0.16567259,-1.0996038483885617,-1.0996038483885617,0.00465878,0.02431111,0.00025898,1.0
2760000,2.5631015,687.2758620689655,-0.13925263,-1.0347103425141038,-1.0347103425141038,0.0015012309,0.022795776,0.00025874824,1.0
2780000,2.525254,808.8695652173913,-0.15225153,-1.2465652045996294,-1.2465652045996294,0.0043684472,0.025037859,0.00025851655,1.0
2800000,2.5546966,825.0833333333334,-0.13636366,-1.0364000008751948,-1.0364000008751948,0.0015075114,0.02211631,0.00025820697,1.0
2820000,2.511356,763.551724137931,-0.12336354,-0.9732930958271027,-0.9732930958271027,0.0025871764,0.023091804,0.0002578978,1.0
2840000,2.5501554,712.2333333333333,-0.13059059,-1.0315499943991502,-1.0315499943991502,0.0025057,0.019795733,0.00025758857,1.0
2860000,2.5399082,701.16,-0.1507151,-1.0036480057239532,-1.0036480057239532,0.004973821,0.0247286,0.00025727926,1.0
2880000,2.530768,696.1111111111111,-0.12421587,-0.8838666556058107,-0.8838666556058107,0.0050191926,0.02294539,0.0002569697,1.0
2900000,2.5149152,619.4848484848485,-0.13375136,-1.0004312319215387,-1.0004312319215387,0.0028100433,0.0246166,0.0002566605,1.0
2920000,2.5194767,675.8,-0.1494488,-0.995199994694802,-0.995199994694802,0.002551253,0.021305345,0.00025635186,1.0
2940000,2.4124877,913.5,-0.17633979,-1.041774995625019,-1.041774995625019,0.0027181758,0.019956468,0.00025604363,1.0
2960000,2.45037,879.1304347826087,-0.15906112,-0.9694391191005707,-0.9694391191005707,0.0010279772,0.024689075,0.000255734,1.0
2980000,2.4497356,742.0416666666666,-0.14158803,-1.0573416476448376,-1.0573416476448376,0.0045781666,0.025385747,0.00025542543,1.0
3000000,2.4443913,658.6451612903226,-0.16238344,-1.099776672075192,-1.099776672075192,0.004922063,0.020903038,0.00025511644,1.0
3020000,2.5073583,838.8076923076923,-0.14769223,-1.0343307591974735,-1.0343307591974735,0.0022382592,0.023128618,0.0002548069,1.0
3040000,2.4864614,762.76,-0.13402194,-0.8709884540965924,-0.8709884540965924,0.003021862,0.021088514,0.0002544971,1.0
3060000,2.4515402,819.625,-0.13248985,-0.9892874962339798,-0.9892874962339798,0.0014395379,0.02414834,0.0002541878,1.0
3080000,2.4226496,781.9166666666666,-0.13272144,-0.9722249883537492,-0.9722249883537492,0.0018092778,0.023757318,0.00025387784,1.0
3100000,2.393894,865.4285714285714,-0.13561031,-0.98752380552746,-0.98752380552746,0.0013235104,0.02531155,0.00025364495,1.0
3120000,2.423165,860.3214285714286,-0.11772117,-0.9170035512319633,-0.9170035512319633,0.0010568597,0.021365087,0.0002534142,1.0
3140000,2.397345,803.48,-0.1247981,-0.8863999912142754,-0.8863999912142754,0.006426654,0.026804391,0.00025310557,1.0
3160000,2.426623,836.7391304347826,-0.14309207,-0.9920130430356316,-0.9920130430356316,0.0023619656,0.023201289,0.00025279605,1.0
3180000,2.4183545,858.7142857142857,-0.1299086,-0.8142904720845676,-0.8142904720845676,0.0035717941,0.026684817,0.0002524881,1.0
3200000,2.3234935,819.68,-0.14037162,-0.9626399758458137,-0.9626399758458137,0.0017871291,0.025589947,0.0002521802,1.0
3220000,2.2692702,821.16,-0.14080769,-1.1040000006556512,-1.1040000006556512,0.005622387,0.024860997,0.00025187113,1.0
3240000,2.3633764,782.4615384615385,-0.118432164,-0.9367440009117126,-0.9367440009117126,0.0040105437,0.024402957,0.000251562,1.0
3260000,2.2589393,638.4,-0.15275688,-1.0716612992748138,-1.0716612992748138,0.0042491048,0.020693708,0.0002512533,1.0
3280000,2.4039536,802.8846153846154,-0.13617538,-1.094173067750839,-1.094173067750839,0.0030116253,0.020784497,0.00025094496,1.0
3300000,2.3818495,777.5769230769231,-0.12494553,-0.9918961493441691,-0.9918961493441691,0.0017045562,0.021779273,0.00025063596,1.0
3320000,2.3783941,702.4642857142857,-0.1256976,-1.0264857052160161,-1.0264857052160161,0.0027666204,0.021961275,0.00025032563,1.0
3340000,2.4272418,799.875,-0.11962087,-0.9696041510129968,-0.9696041510129968,0.0016724307,0.02849183,0.00025001678,1.0
3360000,2.4467978,897.2916666666666,-0.11368378,-1.0267913059695908,-1.0267913059695908,0.00075675023,0.02435951,0.00024970536,1.0
3380000,2.4224803,756.5,-0.13466021,-1.0291319960355758,-1.0291319960355758,0.0043343715,0.022048853,0.0002493959,1.0
3400000,2.4663334,634.5151515151515,-0.14257778,-1.0630593851674348,-1.0630593851674348,0.0035978947,0.02276718,0.0002490882,1.0
3420000,2.5075033,819.04,-0.15074164,-1.042111999988556,-1.042111999988556,0.0024655648,0.023498982,0.0002487787,1.0
3440000,2.5002275,874.304347826087,-0.12820686,-1.0911208012451727,-1.0911208012451727,0.002176015,0.02851608,0.00024854424,1.0
3460000,2.4360135,746.24,-0.17432158,-1.0490039789676666,-1.0490039789676666,0.0045922427,0.02235315,0.00024831248,1.0
3480000,2.329794,725.5172413793103,-0.19277325,-1.0903103194873909,-1.0903103194873909,0.0046506827,0.021937476,0.00024800308,1.0
3500000,2.4965672,747.8148148148148,-0.15408665,-1.0099814829451066,-1.0099814829451066,0.0022064114,0.020791916,0.00024769473,1.0
3520000,2.466799,837.4782608695652,-0.14209206,-0.971156505462916,-0.971156505462916,0.001310093,0.024624858,0.00024738573,1.0
3540000,2.4950664,786.72,-0.13613193,-0.9497600027918816,-0.9497600027918816,0.0040639993,0.022223622,0.00024707709,1.0
3560000,2.3988957,798.36,-0.1498386,-1.0847124721234043,-1.0847124721234043,0.0028530224,0.023316331,0.00024676754,1.0
3580000,2.4594667,703.2758620689655,-0.13678694,-1.0158699765801429,-1.0158699765801429,0.005580147,0.022983424,0.00024645793,1.0
3600000,2.4423573,748.3703703703703,-0.12170456,-1.0105296293342556,-1.0105296293342556,0.0012378072,0.026972923,0.00024614984,1.0
3620000,2.4232244,737.5384615384615,-0.12490908,-0.9134423007758764,-0.9134423007758764,0.0033836528,0.025935907,0.00024584058,1.0
3640000,2.4821484,724.8928571428571,-0.12492893,-1.0668321406202657,-1.0668321406202657,0.004011381,0.02259706,0.0002455315,1.0
3660000,2.470804,795.1153846153846,-0.13323835,-1.0098679995536803,-1.0098679995536803,0.0018368483,0.021994842,0.0002452233,1.0
3680000,2.4240804,784.0,-0.13637714,-1.0446321283067976,-1.0446321283067976,0.0019606487,0.022845494,0.00024491356,1.0
3700000,2.4053957,718.8076923076923,-0.14902316,-1.1253076642751694,-1.1253076642751694,0.005385257,0.022566965,0.00024460434,1.0
3720000,2.488097,912.5238095238095,-0.13627316,-0.9160285443067551,-0.9160285443067551,0.0010536002,0.022121452,0.00024429563,1.0
3740000,2.4137573,682.9354838709677,-0.14057387,-1.1693290274950765,-1.1693290274950765,0.005574614,0.02118295,0.0002439871,1.0
3760000,2.4224668,801.8333333333334,-0.119128264,-1.0963624911382794,-1.0963624911382794,0.0042170826,0.025763795,0.00024367913,1.0
3780000,2.4288495,908.5454545454545,-0.10151954,-0.9572454491122202,-0.9572454491122202,0.0007977012,0.025770826,0.00024344824,1.0
3800000,2.4450922,876.7391304347826,-0.0977257,-0.9885173835184263,-0.9885173835184263,0.00055863993,0.02243312,0.00024321734,1.0
3820000,2.4415271,793.0,-0.106473185,-0.9208958397308985,-0.9208958397308985,0.0030766614,0.025649441,0.00024290838,1.0
3840000,2.445271,775.3461538461538,-0.1113494,-1.0859115387384708,-1.0859115387384708,0.0012861656,0.021427523,0.00024260007,1.0
3860000,2.4425132,872.2916666666666,-0.11558061,-1.0421624990801017,-1.0421624990801017,0.0017996533,0.02204508,0.00024229102,1.0
3880000,2.4373417,830.0,-0.1163326,-0.9417391182935756,-0.9417391182935756,0.0016172208,0.020001989,0.00024198294,1.0
3900000,2.3752632,911.5652173913044,-0.11891132,-0.9366347815679468,-0.9366347815679468,0.0016887699,0.025311379,0.00024167367,1.0
3920000,2.4081054,736.4230769230769,-0.10956824,-1.0082961386786058,-1.0082961386786058,0.004703724,0.024870157,0.00024136396,1.0
3940000,2.4618194,863.5909090909091,-0.09878115,-0.9803090847351335,-0.9803090847351335,0.0009968155,0.024054065,0.00024105399,1.0
3960000,2.4752986,732.3448275862069,-0.10095573,-0.9936413741831122,-0.9936413741831122,0.0021193658,0.020176796,0.00024074552,1.0
3980000,2.4629064,808.7826086956521,-0.109027535,-0.9638869435242985,-0.9638869435242985,0.0014242844,0.022183884,0.0002404371,1.0
4000000,2.4877903,776.1034482758621,-0.123089045,-1.0203068808748805,-1.0203068808748805,0.0027913998,0.02863779,0.00024012814,1.0
4020000,2.472942,776.64,-0.1293091,-1.0594600042700768,-1.0594600042700768,0.002147931,0.022787381,0.00023981929,1.0
4040000,2.5092316,773.12,-0.1381113,-1.0159439948201179,-1.0159439948201179,0.002382588,0.023431402,0.0002395096,1.0
4060000,2.5013468,804.875,-0.14593284,-1.0370500050485134,-1.0370500050485134,0.0015377922,0.021758698,0.00023920095,1.0
