Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
10000,2.314863,-1.6649143,0.3935632,289.03125,-0.9110062498657499,-0.9110062498657499,0.0,1.0
20000,2.3090453,-1.4579097,0.18145344,327.8333333333333,-1.0326066825694094,-1.0326066825694094,21.697784793625274,1.0
30000,2.3015883,-1.2103087,0.59239817,356.6896551724138,-1.0234896590419371,-1.0234896590419371,13.868689354637574,1.0
40000,2.3035874,-1.0807853,0.7816137,274.52777777777777,-0.9440500100608915,-0.9440500100608915,7.460960251951797,1.0
50000,2.2932415,-1.180001,0.99109316,288.55882352941177,-0.9995882427593803,-0.9995882427593803,5.720145542886765,1.0
60000,2.2872157,-0.9760457,1.2014178,297.1470588235294,-0.9422545650917472,-0.9422545650917472,4.950886581036629,1.0
70000,2.2854934,-0.76258236,1.2230386,252.84615384615384,-1.0230300144758075,-1.0230300144758075,2.92842188840732,1.0
80000,2.2608955,-0.6775557,1.1823387,309.3030303030303,-1.0463878931759885,-1.0463878931759885,3.220676968593828,1.0
90000,2.274165,-0.49661517,1.2410682,300.11764705882354,-1.1310969785307392,-1.1310969785307392,2.3565078148844116,1.0
100000,2.2590196,-0.49315882,1.1444943,383.28,-0.7509440168738365,-0.7509440168738365,3.081636167773977,1.0
110000,2.2420747,-0.46255025,1.0433868,298.6875,-0.7723272847943008,-0.7723272847943008,1.8793339333920316,1.0
120000,2.2233772,-0.4277614,1.0002674,291.3611111111111,-1.043594456070827,-1.043594456070827,1.4503971195016574,1.0
130000,2.2210827,-0.36258164,0.95247567,339.1034482758621,-0.8501517380876787,-0.8501517380876787,1.6053948628491368,1.0
140000,2.2029018,-0.35368815,0.8507193,318.72727272727275,-0.8288606283833471,-0.8288606283833471,1.3285697231802978,1.0
150000,2.210603,-0.322325,0.809121,439.75,-0.5315000132657588,-0.5315000132657588,1.9463780239224433,1.0
160000,2.2080383,-0.33537006,0.7825089,343.0,-0.8266400170202056,-0.8266400170202056,1.1144262713690598,1.0
170000,2.1867998,-0.3094409,0.7159071,411.9130434782609,-0.6348917084590843,-0.6348917084590843,1.807109872897854,1.0
180000,2.149369,-0.296337,0.69300383,414.2692307692308,-0.6719538664731842,-0.6719538664731842,1.421491206301233,1.0
190000,2.1530917,-0.27787405,0.6320581,380.3478260869565,-1.226173937725632,-1.226173937725632,1.3375901126444503,1.0
200000,2.1960855,-0.321219,0.56208533,434.1818181818182,-0.678860905782684,-0.678860905782684,1.184518558823544,1.0
210000,2.1969426,-0.25743657,0.55459666,416.6,-0.7639600011706352,-0.7639600011706352,1.227886993214488,1.0
220000,2.165564,-0.22296397,0.55733997,327.8666666666667,-0.7727310528721789,-0.7727310528721789,1.1669832379075473,1.0
230000,2.173108,-0.2209142,0.4864459,428.0416666666667,-0.5479840259253979,-0.5479840259253979,1.223148481603712,1.0
240000,2.156078,-0.2276975,0.4484868,392.84615384615387,-0.9214400166645647,-0.9214400166645647,1.0132650661468505,1.0
250000,2.1440947,-0.19087505,0.42394033,373.04,-0.8760307899300153,-0.8760307899300153,0.9848612591158599,1.0
260000,2.141306,-0.15954494,0.4375919,653.2666666666667,0.24041329349080723,0.24041329349080723,2.007613668094079,1.0
270000,2.1528044,-0.1303893,0.396358,487.3333333333333,-0.596247635781765,-0.596247635781765,1.4903165039916833,1.0
280000,2.1372294,-0.14725739,0.40793076,453.2173913043478,-0.6674818508327007,-0.6674818508327007,1.7483310428532688,1.0
290000,2.1386182,-0.13202071,0.37841436,539.8235294117648,-0.7064555690934261,-0.7064555690934261,2.024262288792266,1.0
300000,2.1074648,-0.12252452,0.38720217,604.2222222222222,0.3172110646652679,0.3172110646652679,1.7236607441575162,1.0
310000,2.075451,-0.07966432,0.37400743,526.4375,-0.17977503697329666,-0.17977503697329666,1.4269240444991738,1.0
320000,2.0897806,-0.04989655,0.36730102,483.3478260869565,-0.43451307029665814,-0.43451307029665814,1.5820703070165347,1.0
330000,2.061592,-0.14730725,0.3336201,462.05,-0.6232300217146985,-0.6232300217146985,1.356387186300708,1.0
340000,2.0770416,-0.17527404,0.3724425,522.95,-0.45688004437834023,-0.45688004437834023,2.3136836878955362,1.0
350000,2.118403,-0.14016756,0.37222466,464.95652173913044,-0.5875130620096689,-0.5875130620096689,1.5629639532214596,1.0
360000,2.0433283,-0.11219245,0.33865216,762.3333333333334,0.6464999483820671,0.6464999483820671,2.1491519398987293,1.0
370000,2.057404,-0.13453111,0.34706423,431.12,-0.6748916865326464,-0.6748916865326464,1.5004082633337628,1.0
380000,2.0467691,-0.08670295,0.34747383,652.7142857142857,-0.33000003173947334,-0.33000003173947334,2.310136528809865,1.0
390000,2.0304875,-0.073934495,0.36094904,664.3125,-0.5477500481065363,-0.5477500481065363,2.5534001076593995,1.0
400000,2.009443,-0.09469855,0.3351401,497.0,-0.5083895174688414,-0.5083895174688414,1.8927219174802303,1.0
410000,2.041996,-0.10517831,0.33823898,470.3636363636364,-0.27960002955726604,-0.27960002955726604,1.6804423451169648,1.0
420000,2.0632036,-0.09916104,0.382173,579.8125,-0.6328875408507884,-0.6328875408507884,2.413176986563485,1.0
430000,2.011532,-0.087863535,0.32730952,516.05,-0.4016600243747234,-0.4016600243747234,1.81700112298131,1.0
440000,2.0103605,-0.05248133,0.33139995,617.4117647058823,-0.3744824105764137,-0.3744824105764137,1.9485349547775352,1.0
