Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
20000,2.796014,430.8536585365854,-0.12785168,-0.24514775,-1.1030804938295993,-1.1030804938295993,3.28176465594187,0.041799944,0.023247056,0.00029984576,3.3192127,3.1513853,1.0
40000,2.778446,484.4594594594595,-0.17453033,0.13945551,-1.1483108087165936,-1.1483108087165936,5.793187976588269,0.014918443,0.024818052,0.0002996127,0.60166204,3.0047677,1.0
60000,2.7859917,521.5581395348837,-0.19005217,0.33562908,-1.1977907057071842,-1.1977907057071842,3.5790237495025923,0.0058269957,0.022281878,0.00029930388,0.33345616,2.9953036,1.0
80000,2.784635,574.6875,-0.1949275,0.4011349,-1.1392624971922487,-1.1392624971922487,2.5579436572734267,0.0042434814,0.024235744,0.00029899436,0.21666491,2.9953115,1.0
100000,2.7944727,589.0909090909091,-0.18346943,0.39977524,-1.0760484692273717,-1.0760484692273717,2.0053956595559916,0.0017869779,0.02337436,0.0002986841,0.17184547,2.9781966,1.0
120000,2.7781215,687.6785714285714,-0.17397606,0.3774032,-0.9401357123362166,-0.9401357123362166,1.9382774569426797,0.0033717644,0.020602487,0.00029837358,0.1363954,2.9085903,1.0
140000,2.7384639,690.7666666666667,-0.16395554,0.3415383,-1.0265766739845277,-1.0265766739845277,1.8753680198142926,0.0030538267,0.021911787,0.00029806473,0.13089558,2.855991,1.0
160000,2.7681782,676.4137931034483,-0.16091883,0.31944224,-1.024396431499294,-1.024396431499294,1.7315437063641315,0.0016169085,0.024956055,0.00029775559,0.122539096,2.8394043,1.0
180000,2.7816215,699.3666666666667,-0.15889072,0.29746893,-1.018009678250359,-1.018009678250359,1.5811774521960966,0.0014700795,0.018282197,0.0002974458,0.11098792,2.8349802,1.0
200000,2.7512233,717.2413793103449,-0.15544246,0.28686738,-1.0129275871761914,-1.0129275871761914,1.8693708573178998,0.0011778219,0.024589576,0.00029713736,0.12915343,2.7431688,1.0
220000,2.6879523,655.6551724137931,-0.14710824,0.28419128,-0.9699633374810219,-0.9699633374810219,1.7230113829796514,0.0025960668,0.021164462,0.0002968263,0.13135491,2.7028098,1.0
240000,2.6239364,646.4285714285714,-0.12977603,0.2913178,-1.0773535735372985,-1.0773535735372985,1.9441310053391914,0.002531737,0.02324199,0.00029651687,0.14774758,2.5896688,1.0
260000,2.6071746,579.2,-0.15573743,0.292263,-0.9384571356432778,-0.9384571356432778,1.5897391188357557,0.0030911858,0.024230199,0.0002962083,0.124830395,2.5487442,1.0
280000,2.5861511,708.9354838709677,-0.14662303,0.30058107,-1.0341612884113867,-1.0341612884113867,2.1178756502434433,0.0017304562,0.023450926,0.00029589943,0.14769098,2.4514709,1.0
300000,2.5389583,684.3793103448276,-0.13765055,0.33004066,-1.1006724145905724,-1.1006724145905724,2.5746884617697576,0.0019845976,0.021287013,0.00029559055,0.1725733,2.4321945,1.0
320000,2.4450972,645.5806451612904,-0.13703229,0.33448914,-1.0995709737462382,-1.0995709737462382,2.0566052844327305,0.002651045,0.023625292,0.00029528234,0.15407963,2.324185,1.0
