Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
20000,2.7989984,575.125,0.27090746,0.36277968,-0.9145290245932918,-0.9145290245932918,4.46127625915312,0.041539177,0.020783508,0.00029984576,2.9830282,3.1657097,1.0
40000,2.7916453,639.7931034482758,0.16231415,0.50586355,-0.9414599957565467,-0.9414599957565467,6.240208518194655,0.010543741,0.020610724,0.0002996092,0.53849685,3.012242,1.0
60000,2.7658644,619.3103448275862,0.102229364,0.5955035,-0.9491586209885006,-0.9491586209885006,3.8719332134029987,0.004447989,0.028803606,0.00029929995,0.2987166,2.9828548,1.0
80000,2.7368073,659.5757575757576,0.04811621,0.56472045,-1.071106051631046,-1.071106051631046,2.760657083694682,0.0043938477,0.022645507,0.00029899133,0.1985361,2.942986,1.0
100000,2.7566357,609.9032258064516,-0.02427426,0.5009862,-1.128283860462327,-1.128283860462327,1.9996416490945605,0.004793304,0.027050525,0.00029868074,0.15309867,2.9584827,1.0
120000,2.752649,799.48,-0.06778214,0.42462355,-1.0825119921565056,-1.0825119921565056,1.9255364014022052,0.0022590584,0.023870643,0.00029837037,0.12011573,2.9486718,1.0
140000,2.7549376,560.2222222222222,-0.0880228,0.38452822,-0.9511833215753237,-0.9511833215753237,1.398778679728922,0.003318136,0.021396548,0.00029806048,0.1229936,2.9039292,1.0
160000,2.7339056,665.9666666666667,-0.101659976,0.36300877,-0.9851166625817617,-0.9851166625817617,1.7752752104618896,0.0027063298,0.021951886,0.00029775058,0.1278993,2.8890963,1.0
180000,2.7250094,577.2,-0.12543634,0.34627232,-0.9935542862330164,-0.9935542862330164,1.3346182902210526,0.0031756335,0.025753701,0.00029744057,0.11983852,2.8339663,1.0
200000,2.732642,586.3030303030303,-0.13822636,0.32328215,-1.0732787881385197,-1.0732787881385197,1.6696464092520094,0.0025212124,0.018995564,0.000297131,0.1416007,2.7777429,1.0
220000,2.6981645,820.72,-0.13493143,0.31019065,-1.066358333453536,-1.066358333453536,2.1877152489032596,0.0015913276,0.024943031,0.00029682257,0.13188219,2.7441912,1.0
240000,2.7108016,761.2592592592592,-0.13685206,0.30171087,-1.0404785624040025,-1.0404785624040025,2.154667356209497,0.001520928,0.023504082,0.00029651428,0.13159388,2.7115922,1.0
